Wall time,Step,Value
1502569607.796042,148094,3.682102680206299
1502569937.535794,148193,3.7981655597686768
1502570356.943394,148329,3.3453192710876465
1502570718.192619,148451,3.386805534362793
1502570891.045857,148509,4.0284423828125
1502571115.177567,148578,4.114092826843262
1502571126.417191,148582,3.633880376815796
1502571435.306967,148683,3.813924789428711
1502571691.813773,148769,3.488799810409546
1502573488.950359,149347,3.947226047515869
1502574239.099164,149588,3.373645305633545
1502574857.116122,149791,3.5073442459106445
1502575017.609337,149842,3.550767660140991
1502575242.649105,149911,3.553241729736328
1502576874.908672,150442,3.2822630405426025
1502576930.524268,150461,3.1633141040802
1502577529.580073,150663,3.2754263877868652
1502577854.287681,150768,3.6913695335388184
1502578390.288397,150947,3.7683510780334473
1502578432.114786,150961,3.3170926570892334
1502578539.292296,150997,3.519822359085083
1502578665.046591,151038,3.9147162437438965
1502578942.024754,151132,3.3239188194274902
1502579093.965125,151181,3.481630563735962
1502579636.329107,151361,3.761568546295166
1502579899.527507,151448,3.3941056728363037
1502579953.008587,151466,3.358816385269165
1502580367.222953,151601,3.4417083263397217
1502582851.731533,152428,3.8108322620391846
1502583554.924572,152671,3.4317259788513184
1502585887.888861,153461,3.8036701679229736
1502586087.527734,153528,3.6375880241394043
1502586272.116636,153589,3.6858112812042236
1502588750.231942,154426,3.5592265129089355
1502589194.431564,154569,3.3749923706054688
1502590793.983876,155094,3.621159076690674
1502591987.691559,155489,3.530790328979492
1502592407.816051,155625,3.612489700317383
1502592454.519308,155640,3.253767490386963
1502594212.660654,156214,3.4984335899353027
1502594472.788014,156297,3.6230053901672363
1502595289.611209,156557,3.618640899658203
1502595812.870494,156731,3.584658622741699
1502596036.37036,156804,3.3608274459838867
1502596471.614708,156950,3.3397903442382812
1502596542.151684,156969,3.427361011505127
1502596731.975069,157035,3.9833784103393555
1502597237.917937,157196,4.0320515632629395
1502597511.399661,157287,3.1829848289489746
1502597660.034411,157335,3.6847097873687744
1502598231.597775,157528,3.3135251998901367
1502598777.761937,157714,3.1787333488464355
1502599131.744968,157832,3.4602255821228027
1502599474.109044,157946,3.7522025108337402
1502601955.608537,158759,3.541280746459961
1502602341.431132,158889,3.174893379211426
1502602804.240014,159048,3.6981382369995117
1502603615.890039,159313,3.460160732269287
